Accession,WTB-001,WTB-002,WTB-003,WTB-004,WTB-005,WTB-006,WTB-007,WTB-008,WTB-009,WTB-010
Q9Y4Y9,0,0,313.9,246.3,0,0,0,0,0,93.9
E9PMV2,79.85,201.4,230.4,69.5,54.3,64,130.7666667,59.5,48.6,74.15
F8W809,71.75,142.5,228.3,86,10.6,119.2,29.13333333,0,25.1,72
P07996,95.45,197.7,215.3,111.6,46.4,75,85.26666667,40.6,40.9,67.6
P21980,67.5,229.6,214.8,194,29.7,40.6,63.63333333,21.7,42.3,60.85
J3QSU6,97.7,262.8,212.3,117,17.8,59.7,110.5666667,29.1,61.1,58.4
Q9NZZ3,100.15,172.6,209.8,103.7,22,44,97.63333333,21.6,40.1,102.55
E9PK54,73.65,122.9,203.9,100.3,96.9,66.6,88.83333333,38.5,59.1,91.4
F8WF14,59.9,112.1,202.2,167.5,34.8,92.3,81.66666667,0,81.2,150.2
P02675,142.45,123.7,198.5,61,171.7,203.6,43.2,29.8,52.1,83.1
Q15063,42.75,518.3,196.4,56.3,46.3,43,74.36666667,30.1,31.1,46.7
P02679,154.5,114.9,196.2,61.1,185.7,192,40.13333333,31.7,51.6,77.5
Q9HT18,68.65,66.7,194.3,79.1,84.7,99.9,152.2,80.6,38.8,95.35
A0A2R8YD90,87.2,272.6,185.6,85.4,36.2,42.9,96,45.7,75.5,74.2
G3V180,36.9,187.7,182.6,196.7,0,0,146.4,0,79.6,98.85
Q9BTE6,108.05,173.9,182,164.4,53.2,63.3,73.26666667,36.2,47.7,109.2
P02671,225.5,136,180.7,37,200.7,101.2,27.33333333,36.2,26.5,86.6
J3KSB0,83.75,188.7,179.1,152.4,23.3,30.7,141.6666667,0,94.3,64.55
P00374,65.6,103.9,178.9,75.9,36.5,34,114.9666667,26.9,48.2,81.05
Q15582,98.85,245.1,178.2,102.4,51.1,82.7,87.26666667,30.7,63.4,80.5
P02655,83.45,114.1,176.3,213,60.8,35.4,82.93333333,41.6,36.6,143.6
Q92542,124.55,159.6,175.4,133.3,67.5,69.6,95,35.2,100.5,91
P49756,128.75,158.2,172.1,107.3,43.5,22.4,64.86666667,41.8,20.3,82.35
