Accession,WTB-001,WTB-002,WTB-003,WTB-004,WTB-005,WTB-006,WTB-007,WTB-008,WTB-009,WTB-010
P30044,97.85,98.6,172,104.3,75.7,52.5,83.1,16.8,61.4,105.1
P08670,87.55,291.3,169.6,78.1,52,69.4,60.76666667,54.8,45.2,67.75
P02745,167.15,127.8,168,93.4,68.1,35.7,72.93333333,33.9,92.5,112.4
Q96TA1,126.25,228.8,166.9,126.8,41.8,106.5,38.83333333,37.6,60.8,106.25
P60903,94.75,170,166.7,151.8,88.1,155.2,55.73333333,62.7,61,105
Q92888,89.65,219.4,164.1,82.5,29.8,0,129.0666667,54.9,137.3,90.8
Q96IY4,91.35,111.9,162.3,111.1,118.4,86.8,74.83333333,89.5,101.3,102.8
Q08945,71.75,151.5,160.2,285.7,21.2,0,26.56666667,16.1,22.3,64.85
P28838,49.9,92.2,160.1,112,35.4,36,124.9666667,0,84.8,58.65
A0A1B0GU62,117.3,159.6,159.3,108.4,56.1,29.5,72.13333333,54.5,95.3,110.75
P35555,54.7,254.7,157,37.6,32.2,45.5,177.8666667,32.9,87.8,47.35
Q12996,118.8,170.7,155.1,191.2,97.7,139.3,70,22,86.1,48.3
P21926,94.8,158.9,152.2,118,115.8,56.4,96.73333333,34.1,83.3,85.75
P02730,74.6,101.8,151.1,196.5,150.7,71.7,60.9,33.9,56,133.05
A0A499FIX8,94.9,141.8,149.4,129,32.8,43.8,86.96666667,39.1,55.7,96.2
Q8TAQ2,151.65,135.8,149,111.8,55.2,99.3,47.2,38.6,68.1,92.25
Q9Y3C4,153.4,196.7,148.7,145,0,0,103.5,42.3,113,20.45
O14744,107.2,154.5,148.3,147.9,25.1,18.2,64.06666667,14.1,49.5,56.15
Q9P1F3,99.05,115.5,147.7,89,46.3,14.7,158.9666667,42.5,64.5,111.2
Q9HZ71,75.35,103.8,145.7,74.1,40.5,69.6,174.5333333,54.2,62.1,62
E9PRJ8,87.3,150.2,143.3,88.8,144.9,71.2,61.13333333,32.6,73.7,90.75
Q07065,93.2,167.4,141.5,182.5,61.5,30.8,80.76666667,32.1,77.6,105.35
H0Y659,79.15,93.9,141.4,93.5,0,52,98.93333333,74.2,0,111.8
P04632,91.35,138.1,140.3,118.5,57,44.3,59.16666667,0,206.5,73.85
P10909,184.1,123,138.8,74.8,187.7,88.9,46.13333333,37.5,62.2,95.8
Q9NTK5,142.4,105.2,138.6,46.6,81.2,41.9,42.26666667,43.9,25.3,94.75
O15067,84.1,110.8,137.7,135.7,75.9,56.6,114.4,28.3,82.4,134.1
A0A2R8Y5V9,66.05,201.6,137.7,150.8,51.8,73.2,55.76666667,26.7,67.5,76
P11166,65.5,117,136.9,195.6,180.8,112.4,39.36666667,104.1,41.7,122.7
P04275,87.65,228.9,136.7,79.3,73.4,44.5,128.0333333,26.3,108,88.35
Q53GS9,85.35,148.5,136.6,98.8,48.2,40.9,102.5,19,72.3,63.8
P27695,98.5,150.7,136.5,138.8,42.4,20.7,64.13333333,44.3,46.8,126.75
F5H303,82.75,112.8,136.5,175.6,25.4,24.6,83.3,31.3,82.5,82.25
H0Y9H6,94.35,115.7,135.8,123.8,59,45.6,123.3666667,55.8,57.2,102
P02656,127.95,103.1,135.4,149.4,52.3,35.6,55.6,137.7,26,175.15
P02549,95.55,159.9,134.9,196.4,145.9,72.9,61.03333333,25.2,59.4,101.4
A0A087X2I1,97.1,139.3,134.1,117.1,30.3,67.3,91.16666667,32.3,52.6,106.65
Q9NZM1,85.75,223.3,133.9,101.2,32.2,43.6,132.4333333,57.9,63.8,102.5
Q5JR04,80.4,116.1,133.9,73.8,49.4,42.3,85.13333333,23.6,105.5,81.4
O43592,76.95,64.5,133.5,107,60.9,25.7,75.8,35.6,53.9,93.5
Q5T3Q7,100.3,93.4,132.8,106,37.9,43.7,71.26666667,22.3,87.7,75.7
E7ENY0,93.55,138.2,132.4,275.3,51.1,67.9,68.16666667,24.6,56.4,89.9
Q5JWF2,96.3,117.3,132.3,81.8,59,42,122.3333333,41.8,80.3,87
O00151,62.8,288,132.1,65.1,37.2,25.4,71.96666667,25.6,52.2,69.1
Q9NSE4,117.35,81.7,131.8,159.1,0,41.7,121.0666667,57.3,53.8,140.1
P55884,103.45,90.4,131.4,100.9,56,49.9,81.93333333,31.8,54.7,71.85
A0A4V7I447,107.9,192,130.2,132.7,68.1,51.7,66.86666667,65.5,49,133.05
Q13177,96.8,111.7,130.1,98.3,75.5,81.5,113.8,46.1,65.7,85.15
P04843,105.3,161.2,130,129.9,76.3,61.7,69.36666667,32.8,161,85.55
P08697,186.9,88.1,129.7,76.5,110.5,70,86.93333333,50.5,49.8,100.45
G3V2W1,106.1,130.9,129.2,108.1,63.4,49.9,81,38.8,74.6,138.8
Q9GZP4,86.6,142.1,129,198.9,68,7.8,73.43333333,54.8,59.1,116.85
Q8TEX9,77.95,109.1,128.7,128,38.2,52.7,98.03333333,27,116.9,100.15
A0A669KB52,106.45,147.2,127.9,79.1,45.6,37.2,116.0333333,78.3,47.6,104.25
P17900,113.95,159.1,127.8,87.9,0,54.2,150.5666667,55,77.3,76.3
H3BQQ2,112.8,151.9,127.4,77.1,70.9,38.3,75.83333333,40.1,28.3,55.25
Q09666,83.8,173.2,127.2,184.8,45.8,67,63.43333333,63.9,57.4,88.55
A0A286YEY4,49.65,88,127,93.8,32.6,113.7,165.9333333,21.7,57.9,148.55
P50552,87.85,165.6,126.5,61.9,40,24.3,105.5666667,68.6,51.6,105.25
A0A087WVZ9,70.15,110.6,126.4,77.5,26.8,44.7,66.16666667,18.9,64.2,61.65
C9JU00,88.2,119.8,126.3,66.3,87,323.4,43.83333333,28.4,170.8,54.45
Q15181,82.7,98.4,126,42.8,36,55.4,34.8,11.7,28.7,36.7
Q5SWX3,85.1,114.8,125.3,116.1,62.3,64.4,126.0666667,38.2,98.5,94.85
P0DSO3,67.65,75.4,125.1,53.1,51.2,47.3,38.06666667,45.4,20.5,70.6
Q13315,102.8,205.4,124.9,141.6,35.9,0,113,76.4,97.4,100.2
Q9UBU9,95.05,114.7,124.8,182,43.7,20.8,96.33333333,77.3,88.2,98.55
J3KN16,109.65,129.6,124.4,89.1,73.2,72.6,69.33333333,83.4,83.5,85.8
P02751-1,193.85,130.9,123.7,72.3,117,74.8,74.63333333,61.5,50.7,69.1
P07858,93.35,96.8,123.2,43.1,328,91.9,20.26666667,125.5,35.8,77.35
A0A2R8Y7U1,118.95,121.5,123.1,122.1,103.6,74.3,65.86666667,52.1,79.5,110.85
Q6P2H3,77.3,344.3,123.1,56.2,59.5,29.5,33.5,44.9,27.5,233.45
Q9Y263,93.25,206.9,123,97.9,37.8,37.6,78.4,37.6,65.5,127.05
Q8NCW5,84.4,101.7,122.8,61.9,39,32.8,67.66666667,19.8,99.7,49
P17858,132.45,169.7,122.4,80.8,53.3,64.9,84,29.5,60.4,143.25
B3KVN2,51.65,225.2,122,109.5,111.7,88.7,53.13333333,0,0,130.65
A0A3B3ISI2,102.7,102,121.9,152.5,31.9,53.1,104.2,31.6,97.7,126.3
O00566,81.95,106.4,121.7,112.6,26.3,43.1,83.93333333,23,86.9,78.2
Q13509,104.7,109.6,121.2,117.4,134.7,82.7,89.03333333,31,101.7,84.7
O43617,98.6,78,121.1,46.5,71,27.4,88.7,64.4,40.7,148.5
F5H077,121.3,142.6,121,97.9,45.4,27.5,121.8666667,40,58.1,84.3
Q9Y678,85.45,168.1,120.9,96.8,45.6,54.5,85.76666667,31.8,77.7,124.25
Q12792,100.15,138.3,120.6,127.8,64.6,72.4,75.4,32.5,64.8,140.05
H0YIQ2,0,153.6,119.9,195,77.3,0,124.2333333,84.5,177.9,63.85
Q13228,80.85,166.5,119.8,389,42.4,95.7,68.56666667,34.3,48.7,84.25
Q9UBB4,117.95,118.1,119.7,0,0,0,111.9,0,82,111.2
Q6IQ42,91.4,149.2,119.4,126.3,30.4,41.7,117.7,18.8,89.6,92.1
P31150,89.35,103.2,119.3,105.8,36.8,33.4,86.56666667,54.4,66.9,112.8
H0YCI4,82.2,127,118.9,122.9,55.5,47.5,57.33333333,24,59.7,73.4
Q16718,61.4,146.5,118.6,85.5,28.1,39.3,85.06666667,37.4,57.4,60.75
F2Z3K5,90.45,145,118.1,57.8,56.6,52.2,153.6666667,64.9,74.1,120.2
O15400,66.7,128.2,118,79.8,48.9,36,98.23333333,13.7,305.4,85.45
Q5T093,106.4,129.2,117.7,232.6,44.5,63,86.76666667,69.3,63.2,97.65
F8WF33,81.05,99.8,117.6,102.5,41.9,36.9,129.8666667,111.4,70.2,149.95
O95716,89.95,127.8,117.4,142.4,70,70.6,90.23333333,52.5,173.3,79.5
Q16555,94.6,191.7,117.1,100.3,51.7,60.3,107.3,44.3,79.1,109.75
A0A494C1A0,118.45,138.1,116,75.2,78.4,51.5,103.9333333,48.5,44.6,145.9
A0A0C4DH38,88.4,121.5,115.4,139.5,54.1,75.6,113.7,42.3,87.7,98.3
Q92878,80.25,120.9,115.1,99.7,51.2,69,106.7666667,40.8,96.5,119.8
P69905,116.95,199.8,114.9,170,66.7,43.5,50.63333333,84.4,24.5,139.1
A6NEP9,92.6,123,114.8,106.1,46.9,33.8,133.5666667,58.3,59,109.75
P15311,51.4,177.2,114.8,127.8,43.5,44.8,67.56666667,24.3,44.5,48.4
P02654,128.85,102.6,114.7,84.1,37.8,35.3,184.7666667,39.8,43.5,74.5
E7EWC2,139.1,121.7,114,102.2,52.3,49,109.7333333,38.2,116.9,104.85
Q7L5D6,68.2,103.2,113.9,77.3,54.3,91.3,87.23333333,56.6,44.6,105
P07225,106.2,114.2,113.4,135.1,132.3,169.3,71.6,34.6,92.4,85.45
Q14157-1,77.2,124.4,113.2,99.1,26.3,14.8,82.4,25.1,62.6,80.35
P09769,80.35,148.1,113.1,118.4,60.4,44.6,127.1333333,34.3,81.3,117.3
O75368,104.9,166.8,113,121.6,39.6,54.6,96.43333333,27.9,85.2,91.65
P01023,78.6,94.3,113,163.3,59.4,87,106.0666667,42.8,105.2,123.5
P11277,92.4,136,112.9,162.7,124.8,66,70.1,68,66.8,95.45
A0A087WVQ6,71.1,112.7,112.7,88.3,49.8,54.8,69.7,40.6,70.8,65
P11279,84.8,104.1,112.6,101,109.5,62.2,106.5666667,75.9,63.1,97.9
Q15149,86.9,126.1,112.6,146.3,63.4,123.8,78.26666667,41.2,86.6,83.7
Q15050,60.2,98.7,112.4,74.6,44.8,14.9,53.73333333,13.1,64.2,44.35
Q8IWA5,62.75,69.6,112.3,46.7,63.4,47.4,228.3666667,59.4,53.5,98.75
P36955,94,121.3,112.1,98,103.5,86.2,87.4,75,65.6,118.25
P36959,116.15,159.2,112,153.7,0,0,123.8666667,0,44.4,119.8
Q96M27,89.2,149.9,111.8,99.9,0,30.4,119.6333333,0,62.3,80.5
E7ENU9,74,173.7,111.7,58,322.9,44,54.9,52.8,57.5,83
P16157,77.95,102.9,111.7,178.9,102.2,68.3,67.36666667,40.7,61,67.75
Q13618,88.05,134.5,111.6,136.6,77.3,36.2,78.1,58.6,98.1,97.9
P60953,71.8,126.3,111.6,140.7,36.2,55.8,131.5,24.1,84.2,64.85
P23368,92.3,120,111.3,74.9,51.2,30.3,125.3666667,44.5,121.9,94.3
Q9NZD4,87.7,167.1,111.3,326.3,33.8,50.1,57.6,27.6,55.2,76.4
P01593,79.55,138.5,111,247.8,73,90,83.43333333,31.1,66.5,94.7
Q9UFN0,84.85,96.9,110.9,100,58.5,40.1,138.2,39.1,67.6,110.45
Q9HXZ5,98.55,96.3,110.8,158,55.2,35.8,157.4666667,58.3,68.9,78.9
P13716,98.95,120.3,110.6,202.2,72.5,78.3,73.23333333,39.7,65,99.6
Q13561,96,75.9,110.1,121.1,40.7,52.3,118.9,31.3,116.8,96.95
Q9Y2J8,85.05,101.2,110.1,99.9,44.9,42.8,118.7666667,29.1,121.6,84.75
A0A140TA32,81.25,105.6,110,138.2,58.9,106.6,81.7,51.1,134.3,140.45
P57740,103,157.7,109.9,117.1,64.3,36.2,113.4666667,54,62.1,91.75
H0YBE4,91.85,119.9,109.9,88.1,53.6,44.9,163.8,31.8,75.3,120.8
P32119,82.8,122.5,109.9,309,64.8,108.7,49.63333333,22.8,43.1,79.4
P62191,60.7,103.1,109.5,91.6,64.7,109.9,55.33333333,35.6,94.2,81.6
H0YI36,102.75,126.4,109.4,147.4,44,33.7,112.1333333,54.7,105.8,107.4
J3QRD0,82.25,88.4,108.8,120.8,46.4,55.8,107.2666667,48.4,61.7,82.75
Q9UJU6,103.2,104.1,108.8,108.3,77,104.8,68.83333333,54.4,76.9,118.3
P21964,96.95,108.6,108.7,103.9,57.9,51.2,131.1333333,44.6,74.5,103.4
P40763,140.2,109.3,108.4,153.5,0,47,102.6666667,43.5,166.4,77.7
H0Y2Y8,74.65,110.1,108.4,61.8,64.4,59,78.4,75.2,140.7,106.05
Q16775,95,119.5,108,205,83.5,65.9,88.7,24.8,78.9,83.55
P54727,80,101.6,107.9,106.2,38.8,41.6,117.7,28.8,70.5,106.2
A0A1B0GUS4,36.55,41.1,107.9,50.9,18.7,23.9,30.73333333,10.3,82,36.8
P21266,95.45,218.4,107.6,130.8,47.4,95.2,106.5333333,66.6,69.7,52.2
Q9BVP2,82.25,118.6,107.4,67.6,21.3,48.4,82.03333333,29.9,66.7,101.5
Q92598,70.65,108.1,107.2,77.7,45.5,57.5,46.66666667,19.7,55.1,65.85
E9PP21,94.25,140.4,106.8,83.6,73.3,51.8,85.5,70,159.3,100.7
H0YNE9,84.85,86.5,106.8,112.6,45.7,45.4,149.8666667,74.5,52.8,107.7
P38432,82.05,66.5,106.7,157.8,18.6,23.5,102.5333333,21,104,74.15
Q9NRR5,120,91.3,106.6,119.9,49.9,72,87,73.4,50.9,95.3
M0R080,67.75,112.9,106.6,104.2,42.8,53.9,59,28.5,61.9,84.5
F8VZG8,83.95,144.2,106.5,159.4,76.3,41.9,48.26666667,45.4,41.8,84.05
P47755,71.3,130.4,106.4,101.4,40.2,56.3,91.6,37,83.7,87.4
I3L192,77,106.1,106.1,102.3,29,35.6,131.3333333,20.1,88.1,177.95
Q8WZA0,82.35,108.2,106.1,119.1,52.4,38.2,72.16666667,29.5,84.6,74.45
Q6P4A8,137.1,85.6,106,45.9,198,170.9,86.13333333,70,69.1,82.4
Q9Y230,78.4,131.3,106,137.6,56.3,37.5,63.83333333,31.5,51.6,89.6
H0YBP9,82.65,118.4,105.8,126.8,47.8,46.1,107.5,65.7,89,80.25
P08603,79,106.2,105.8,115.1,69.5,108.5,119.5333333,35.2,99.8,107.95
P35637,58.1,82.6,105.8,21.2,26.2,25.6,30.7,14.8,61.3,20.8
P62805,106.5,80.5,105.7,116.5,80.6,148.1,62.8,127.1,89.1,89.85
P00387,91.6,101.4,105.7,190.5,131.1,85.1,65.6,42.7,67.4,78.05
P26447,111.6,134,105.6,53.4,102,31.8,119.5666667,119.3,43.2,111.65
P62304,78.25,74.1,105.6,102.4,45.1,42.1,85.36666667,53.1,79,86.9
P00367,79.8,98.2,105.6,166.6,62.8,79.1,62.9,43.4,66.1,104.7
Q02413,70.2,133.1,105.5,148,56.3,67.2,101.9333333,42.1,74.2,180.95
A0A3B3IS47,93.35,166.3,105.2,56.8,80.3,46.4,118.3,44.2,66.4,90.4
P07948,148.45,101.5,105.2,62,140.3,106,81.5,58,75.8,114.25
Q9P253,86.8,105.4,105.2,116.2,54.8,44.4,97.36666667,43.1,108.3,98.5
Q9Y265,80.5,114.1,105.1,192.5,37.4,64.3,68.4,25.5,75.8,86.05
P36507,103.9,157.5,105,116,68.9,54.2,106.0333333,37.1,83.5,101.2
P01768,80.15,78.5,105,163.2,112.1,120.6,105.4333333,43.3,59.3,113.1
Q5STX8,151,122.8,104.8,53.9,83.2,30.8,61.3,96.5,47.8,156.1
P45973,78.65,88.2,104.6,119.4,54,59.8,74.13333333,27.9,52.6,73.45
P00568,91.25,128.7,104.4,223.7,101.1,64.2,71.36666667,45.4,64.4,93.3
P02649,100.75,114.7,103.8,82.1,75.1,47.5,152.4,30.1,63.8,96.95
A6NDG6,77.8,90.6,103.6,127.3,39.8,47.9,91.63333333,23,72.2,72.8
P05543,77.95,95.1,103.1,85.6,85.7,86,136.4333333,46.5,69.9,143.25
P12270,69.4,160.3,103.1,130.5,40.9,0,78.6,36.3,63.7,100.5
H0Y368,111.3,149.1,103,113.9,55,49.7,136.0333333,28.5,104.1,90.2
P43246,65.55,99.4,103,84.5,31.1,33,85.5,19.5,76,83
P27169,81.8,75.8,102.9,228.1,177.5,113.7,54.4,39.9,142,117
Q8NBY1,120.35,87.1,102.7,48.3,61.5,58.3,94.43333333,64,63.8,97.1
A0A0G2JMB2,87,79,102.7,108.7,45.2,167.5,137.3666667,8.6,59.3,134.1
Q14166,95.55,145.6,102.6,96.2,52.9,25.7,132.7333333,44.5,59.3,98.1
P61011,92.45,162.4,102.6,77.1,44.8,21.3,81.26666667,26.6,62,84.95
B4DDF4,151.9,127.8,102.5,66.1,93.8,50.8,59.16666667,63.5,58.1,117.85
A0A075B797,61.4,83.9,102.5,112.9,31.4,38.4,93.06666667,29.6,65.7,79.1
E9PP50,114.35,94.5,102.4,113.7,69.4,86.7,114.7666667,72,77.1,88.7
P09972,88.1,99.3,102.4,209,121.5,86.5,49.1,37.5,52.7,72.25
A0A0C4DGW6,58.05,116.5,102.3,91.7,28.8,71.2,81.76666667,38,78.6,44.45
Q92616,94.9,91.3,101.9,123.6,95.5,65.6,76.26666667,35.6,95.9,77.95
Q9H993,81.85,131.5,101.8,81.5,40.3,46.4,100.2666667,29.7,56.5,102.95
Q92882,133.25,118.6,101.7,95,97.2,64,93.26666667,18.7,123.3,122.75
Q15019,71.8,131.6,101.7,103.6,58.5,58.2,70.7,58.2,48.3,88.95
Q86UX7,82.1,87.1,101.6,72,61.7,44,103.7666667,53.7,92.3,103.3
P62316,81.7,88.3,101.6,84.7,50.3,33.7,56.83333333,13,48.3,67.75
Q9H0A0,62.75,110.8,101.6,88.2,29.5,31.1,62.13333333,14.8,48.1,46.75
P13667,136.65,99.5,101.4,74.1,53.2,35.5,72.96666667,43.3,64.2,92.25
P19823,108.4,83.1,101.4,186.6,152.3,115.6,47.7,31.2,168.4,87.35
P01857,70.15,69.1,101.3,136.4,67,124.4,167.7666667,29.6,49.9,99.45
O75534,75.85,123.1,101.2,149.2,52.8,70.4,63.93333333,30.9,81.2,65.1
P14550,110.6,120.6,101.1,77.9,76.9,43.3,95.9,54.9,57.6,101.1
Q9UHY7,103.5,102.8,101,154.7,31.2,46.8,86.16666667,19.2,45.3,86.1
Q86Y82,81.65,136.9,100.9,116.7,38.8,29.2,121.5333333,45,91.5,90.65
V9GYM3,102.15,145.7,100.7,204,43.2,31.3,104.5333333,70.5,86.6,85.95
Q9GZS3,54.35,81.8,100.7,64.3,30.2,34.6,78,138.6,53.6,57.85
P23142,90.1,245.1,100.6,78.3,60.2,75.3,119.5,20.7,68.8,62.05
P33176,85.6,109.1,100.5,110,73.6,45.6,91.26666667,48.4,90.8,84.25
Q03252,88.9,126.9,100.5,122.9,40.3,47.2,75.23333333,47.2,66.7,104.3
Q9UHV9,67.05,61.1,100.4,91.2,42.8,39.2,122.8,26.7,36.6,99.5
Q92556,103.5,114.4,100.2,112.9,76.1,38.2,83.7,59.4,151.7,104.65
G3V1V0,103.95,124.4,99.8,124.1,94.8,115.1,87.3,39.6,76.7,107.35
Q13217,83.8,106.3,99.8,118.2,47.5,89.2,72.36666667,58.5,159.3,64.95
Q2G032,84.4,90.7,99.6,80.9,140.1,57.3,75.43333333,152.3,93.2,72.5
G3V1D1,105.9,187.4,99.4,90.3,43.4,53.8,160.9333333,22.7,127.7,53.95
B5MCY4,60.5,88.6,99.4,78.2,31.8,32.8,100.0333333,33.2,53.3,70.05
F5GYQ1,85.65,123.3,99.3,107,79,68.3,91.93333333,62.1,80.1,92.4
P55058,88.55,95.4,99.1,180.1,37.4,37.8,149.9333333,60.4,68.9,121.2
A0A024QZ42,78.2,130.6,99.1,88.6,50.9,34,138.1333333,39.3,60.3,81.7
Q8N163,49.2,85.7,99.1,78.2,32.4,43,56.76666667,21.9,64.5,64.3
P35858,102.95,111.4,99,108,60,64.4,102.3,62.4,166.5,77.9
C9JRZ6,82.2,94.1,99,39.4,67.8,90.9,56.16666667,30.1,58.8,54
P49748,99.45,110.2,98.9,97.7,54.8,65,97.7,78.8,72.7,102.7
C9JBF0,133.85,83.8,98.8,73.5,62.7,20.8,122.2666667,68.4,90.6,135.2
P31944,91.55,108.7,98.7,117,115.2,87.8,94.9,41.6,113.7,139.6
A0A0A0MS15,138,82.9,98.6,168.9,105.9,97.9,61.1,30.8,114,138.25
H0YD73,87,117.1,98.5,132.3,44.2,53.6,88.43333333,32.9,68.9,83.5
P05783,67.6,93.7,98.5,75,27.4,36.8,65.16666667,15,62.3,56.3
Q86U44,81.75,114.8,98.1,83,63,50.9,100.9,23.8,111.1,80.2
O75533,84.65,113.8,98,87,44.5,30.7,77.33333333,31.9,70,111.2
Q92820,78.85,97.8,98,205.4,39.1,30.7,109.7,49.6,94.1,76.25
K7EKE6,69.95,127.7,98,96.1,44.2,63.6,67.63333333,39.5,115.6,59.15
P54819,81.95,111.9,97.8,85.8,69,114.4,66.06666667,27.3,73.2,72.8
H3BRI8,74.7,72.9,97.6,86.6,36.9,45.1,121.3666667,18,56,103.35
R4GN08,84.8,96.8,97.6,115.3,94.8,60.6,82.2,82,110.7,114.05
P13807,129.65,98.3,97.4,67.7,63.7,59.9,123.8666667,70.8,73.4,96.05
P30520,88.45,101.5,97.4,101.5,78.8,64.3,74.6,43.9,82.6,79.1
A0A087WV45,93.2,87.2,97.4,135.9,64.9,68.3,83.66666667,69.5,53.6,101.15
P31942,79.95,82.4,97.4,74.8,32.2,22,57.93333333,13.8,43.2,45.05
Q99471,46.15,113.5,97.4,75.3,30.5,29.4,65.4,7.8,52.1,71.25
P05154,110.3,87,97.3,118.4,48.9,43.8,131.8333333,36.7,72.5,92.05
P19827,83.7,116.2,97.2,157.4,96.9,97.6,61.33333333,49,112.5,101.7
A0A2R8Y4M1,97.85,106.4,97.1,129.4,68.7,64.2,100.1,31.5,69.3,103.3
Q15172,104.2,90.1,97.1,146.4,58.3,56.9,108.5,52.5,83.8,107.8
P24941,62.6,137.8,97.1,70.8,19.9,35.8,71.5,38.6,34.3,75.7
A0A3B3ITK7,109.05,108.5,97,75.7,71.2,52.2,141.4333333,51.5,91.5,92.45
P00352,89.45,107.4,97,155.2,106,73.1,98.9,36.3,64.5,95.5
P11169,69.35,120.6,96.8,84.5,61.4,48.8,112.8333333,75.7,80,123.85
Q9NYL9,88.85,92.3,96.7,115.1,68.5,65.3,57.9,40.2,77.3,72.05
P16220,80.95,138.6,96.7,120.1,62.7,72.5,78.5,44.2,65.6,96
C9J1E7,76.5,100.1,96.5,142.1,56.4,45.1,83.06666667,29.5,71.5,85.4
M0R3F1,77.05,163.8,96.4,140.9,31.9,31.5,114.3,22.9,64.1,89.1
P61225,96.3,127.8,96.3,76.9,58.7,53.4,100.6333333,57.5,65.9,118.7
P50995,56.2,100.3,96.3,127.1,74,71.1,77.33333333,32.8,175.5,75.8
I3L397,64.65,98.9,96.3,90.1,27.4,32.3,35.86666667,4.1,48.9,80.85
P46459,86.8,105.7,96.2,78.3,42.7,44.3,123.5666667,106.3,72.3,118.15
Q14764,96.5,129.9,96.1,98.6,45,58.9,127,55.2,87.3,116.4
P56537,66.95,116.1,96.1,98.5,29.1,28,182.7666667,31.5,59.2,75.55
P28074,38.2,103.8,96.1,105.3,23.7,38.6,37.46666667,15.9,22.6,35.25
F8WDS9,103.1,106.4,96,104.8,78,85.7,94.36666667,44.4,97.7,100.4
P02747,78.7,105.5,96,84.1,78.7,72.1,131.8,53.4,80.5,114.1
P53621,89.25,119.8,96,110.5,64.7,65,84.4,60.1,71.8,82.65
E9PRZ7,95.6,94.1,95.9,97.6,60.1,68.3,131.8666667,64.5,100.5,113.6
P52907,72.1,86.1,95.9,125.8,76.8,78.5,58.4,25.4,53.9,62.7
P59665,190.05,58.2,95.5,9.4,121,31.4,99.5,264.1,40.5,83.4
Q8NF50,94.3,97,95.5,79.7,56.8,51.1,118.0666667,90,63,85.8
C9JF98,97.65,114.3,95.4,82.7,43,37.3,92.46666667,28.3,69.5,93.75
P56192,81.55,75.2,95.4,135.2,59.2,56,83.26666667,77.2,47.1,77.2
M0R061,72.15,95.5,95.4,91.3,42.8,38,52.2,15.8,57.3,56.05
Q13835,81.95,93.5,95.3,254.5,51.3,152.2,73.36666667,41.2,73.3,92.25
A0A0D9SF54,128.25,102.2,95.2,131.9,92.7,78.4,96.76666667,48.1,99.7,95
O00160,115.4,100.3,95.1,90.7,123.5,52.6,87.86666667,77.9,105,132.45
P01024,70.2,62.3,95.1,163,106.6,135.3,72.1,52.7,94.5,159.6
A0A3B3IS66,81.4,92.8,95.1,131.8,121.2,181.4,68.3,28.7,98.3,78.4
O14957,100.1,175.6,94.9,105.2,35.4,41.2,107.0666667,13.7,64.3,106.4
Q9UKD2,52.55,79.7,94.9,74.9,42.9,46,73.1,30.5,50.3,70.55
Q13098,80.55,107.6,94.8,172.5,35.6,38.4,80.43333333,31.6,41.5,65.05
C9JWV9,104.3,103.9,94.7,66.8,94.6,60.6,77.4,69.2,68.5,151.8
P02545,51.15,149.3,94.6,85,39.1,60.2,49.3,27.7,48.2,46.1
P48147,83.4,115.1,94.5,121.9,45.2,56.9,95.46666667,39.8,90.7,101.25
K7EIE8,55.4,124.6,94.5,115.5,16,16,68.5,18.6,45.5,53.95
